customer_id,account_open_date
15634602,2025-02-17
15647311,2025-07-09
15619304,2018-10-08
15701354,2025-09-19
15737888,2025-03-25
15574012,2019-03-03
15592531,2020-05-20
15656148,2022-07-31
15792365,2022-11-30
15592389,2024-07-10
15767821,2020-09-17
15737173,2023-12-31
15632264,2016-07-09
15691483,2021-09-10
15600882,2020-02-22
15643966,2024-01-14
15737452,2025-09-18
15788218,2018-01-30
15661507,2021-04-20
15568982,2020-07-02
15577657,2019-04-19
15597945,2019-03-11
15699309,2022-10-31
15725737,2023-08-25
15625047,2022-06-13
15738191,2023-10-30
15736816,2024-08-02
15700772,2017-08-04
15728693,2024-05-04
15656300,2026-06-30
15589475,2024-04-19
15706552,2020-03-22
15750181,2018-01-11
15659428,2021-06-19
15732963,2017-11-14
15794171,2026-06-30
15788448,2024-04-27
15729599,2020-02-10
15717426,2020-05-09
15585768,2021-01-26
15619360,2023-03-13
15738148,2018-07-16
15687946,2024-09-20
15755196,2024-10-13
15684171,2021-07-29
15754849,2022-09-22
15602280,2017-08-05
15771573,2017-10-09
15766205,2025-02-16
15771873,2024-11-09
15616550,2016-11-11
15768193,2021-09-14
15683553,2021-10-05
15702298,2019-06-05
15569590,2026-02-20
15760861,2026-02-06
15630053,2021-08-31
15647091,2026-06-30
15623944,2022-08-28
15804771,2022-11-15
15651280,2022-06-25
15773469,2018-02-17
15702014,2026-01-18
15751208,2019-03-06
15592461,2023-05-02
15789484,2021-04-08
15696061,2025-09-21
15641582,2016-07-11
15638424,2021-10-22
15755648,2018-10-05
15703793,2024-09-14
15620344,2021-06-08
15812518,2026-06-30
15779052,2021-10-22
15770811,2018-02-23
15780961,2025-11-21
15614049,2019-05-28
15662085,2017-12-14
15575185,2021-10-04
15803136,2016-09-27
15706021,2026-01-20
15663706,2024-10-03
15641732,2024-01-29
15701164,2023-05-22
15738751,2022-11-22
15805254,2016-09-17
15762418,2024-06-28
15625759,2018-01-01
15622897,2022-08-02
15767954,2023-07-17
15757535,2021-08-08
15731511,2020-02-14
15809248,2017-04-14
15640635,2018-11-30
15676966,2022-07-23
15699461,2016-11-15
15738721,2018-06-27
15693683,2019-01-08
15604348,2019-06-18
15633059,2018-05-09
15808582,2020-07-04
15743192,2021-03-19
15580146,2018-03-05
15776605,2020-01-11
15804919,2025-10-05
15613854,2023-02-18
15599195,2025-08-09
15812878,2024-12-05
15602312,2021-12-12
15744689,2018-06-12
15803526,2024-05-14
15665790,2019-10-04
15715951,2024-12-29
15591100,2017-09-03
15609618,2018-05-28
15675522,2018-05-12
15705512,2020-10-16
15698028,2026-02-17
15661670,2019-02-06
15600781,2022-08-24
15682472,2019-04-03
15580203,2021-01-12
15690673,2021-04-09
15760085,2017-01-09
15779659,2023-06-30
15627360,2017-10-25
15671137,2025-07-07
15782688,2026-06-30
15575492,2020-05-15
15591607,2018-04-28
15740404,2023-10-20
15718369,2017-07-21
15677871,2018-05-15
15642004,2026-06-09
15712543,2019-07-31
15584518,2021-12-23
15802381,2021-07-25
15610156,2025-04-02
15594408,2025-04-04
15640905,2025-08-15
15698932,2016-12-20
15724944,2020-01-16
15628145,2021-10-04
15713483,2025-05-13
15612350,2021-12-01
15800703,2021-09-15
15705707,2019-01-12
15754105,2022-03-22
15703264,2017-09-11
15794413,2026-06-30
15650237,2020-06-27
15759618,2018-02-21
15811589,2018-12-06
15689044,2025-01-04
15709368,2020-08-13
15679145,2019-09-20
15655007,2019-10-31
15623595,2025-01-30
15589975,2020-09-21
15804017,2022-09-18
15692132,2020-07-25
15641122,2025-02-14
15630910,2019-09-21
15680772,2025-05-25
15658929,2026-06-30
15585388,2017-07-25
15724623,2019-09-24
15588537,2018-02-28
15574692,2024-09-15
15611325,2017-08-17
15587562,2023-06-05
15613172,2022-01-23
15651022,2016-12-19
15586310,2023-04-11
15625524,2022-04-19
15755209,2019-09-07
15645248,2026-06-30
15790355,2021-12-03
15762615,2018-12-01
15625426,2023-12-17
15716334,2025-03-22
15789669,2025-03-02
15621075,2026-06-23
15810845,2024-08-04
15719377,2022-11-23
15654506,2018-10-31
15771977,2026-05-09
15708710,2026-06-30
15726676,2021-09-07
15587421,2019-12-10
15726931,2018-11-30
15771086,2023-10-09
15756850,2025-09-28
15702741,2019-06-01
15679200,2017-12-08
15594815,2024-05-09
15635905,2021-01-16
15777892,2023-07-18
15656176,2017-06-28
15811127,2021-04-30
15604482,2025-06-17
15622911,2023-06-02
15600974,2022-05-04
15727868,2024-08-29
15627801,2023-12-24
15773039,2023-09-16
15755262,2023-11-23
15679531,2021-07-21
15684181,2021-11-14
15612087,2025-06-23
15752047,2024-10-04
15624592,2019-04-11
15573152,2017-12-12
15594917,2025-11-30
15785542,2023-06-13
15723488,2020-06-27
15680920,2020-01-18
15786308,2018-03-18
15659366,2025-08-25
15774854,2018-10-16
15725311,2018-06-17
15787155,2020-01-27
15727829,2025-01-13
15733247,2017-03-29
15568748,2020-07-20
15699029,2023-01-28
15774393,2017-12-30
15676895,2021-05-06
15637753,2024-08-26
15605461,2024-06-14
15808473,2025-07-29
15627000,2026-06-30
15787174,2026-02-01
15723886,2024-03-02
15704769,2021-09-23
15772896,2020-08-12
15711540,2025-05-20
15764866,2023-09-27
15794056,2025-02-01
15795149,2025-02-10
15812009,2022-11-29
15651001,2022-01-28
15813844,2019-01-06
15596175,2021-06-05
15576269,2019-09-12
15797219,2017-03-17
15685500,2019-09-25
15599792,2025-11-21
15657566,2019-03-01
15772423,2018-10-17
15628112,2021-10-23
15753754,2026-03-30
15793726,2026-06-30
15694717,2024-12-13
15665834,2019-06-28
15765297,2026-06-30
15636684,2016-07-26
15592979,2020-09-15
15750803,2020-10-04
15607178,2024-06-04
15713853,2018-05-16
15673481,2021-05-16
15686776,2020-11-11
15673693,2026-06-30
15700696,2018-04-29
15813163,2018-03-13
15653857,2025-02-07
15777076,2020-06-24
15717398,2020-02-23
15799217,2019-07-02
15787071,2018-04-23
15619955,2023-10-17
15796505,2026-02-26
15725166,2019-06-06
15800116,2022-08-17
15758685,2019-08-11
15694456,2023-08-08
15767339,2017-01-17
15683562,2020-10-07
15782210,2026-02-05
15668893,2019-03-18
15669169,2016-09-12
15643024,2023-02-15
15699389,2019-10-04
15708608,2018-12-24
15626144,2020-05-25
15573112,2022-05-03
15790678,2018-08-02
15727556,2021-12-01
15697307,2016-10-08
15652266,2017-07-01
15607098,2022-04-06
15655774,2020-02-17
15590241,2017-10-03
15785819,2024-03-26
15723654,2025-01-16
15774510,2022-12-02
15684173,2019-07-03
