customer_id,segment
15634602,Promising
15647311,Promising
15619304,At Risk
15701354,Promising
15737888,Promising
15574012,Loyalist
15592531,Champion
15656148,At Risk
15792365,Loyalist
15592389,Promising
15767821,Loyalist
15737173,Loyalist
15632264,Loyalist
15691483,Loyalist
15600882,Champion
15643966,Loyalist
15737452,At Risk
15788218,Champion
15661507,At Risk
15568982,Champion
15577657,Champion
15597945,Loyalist
15699309,Loyalist
15725737,Loyalist
15625047,Loyalist
15738191,Loyalist
15736816,Promising
15700772,Loyalist
15728693,Loyalist
15656300,Promising
15589475,At Risk
15706552,Loyalist
15750181,Loyalist
15659428,Champion
15732963,Champion
15794171,At Risk
15788448,Loyalist
15729599,Loyalist
15717426,Loyalist
15585768,Champion
15619360,Loyalist
15738148,At Risk
15687946,Promising
15755196,At Risk
15684171,Loyalist
15754849,Loyalist
15602280,Loyalist
15771573,Loyalist
15766205,Promising
15771873,Promising
15616550,Loyalist
15768193,Loyalist
15683553,Loyalist
15702298,Loyalist
15569590,Promising
15760861,Promising
15630053,At Risk
15647091,Promising
15623944,At Risk
15804771,Loyalist
15651280,Loyalist
15773469,Loyalist
15702014,Promising
15751208,Loyalist
15592461,Loyalist
15789484,Champion
15696061,Promising
15641582,Champion
15638424,Loyalist
15755648,Loyalist
15703793,At Risk
15620344,Loyalist
15812518,Promising
15779052,Loyalist
15770811,Champion
15780961,Promising
15614049,Champion
15662085,Loyalist
15575185,Loyalist
15803136,Loyalist
15706021,Promising
15663706,Promising
15641732,Loyalist
15701164,Loyalist
15738751,At Risk
15805254,Champion
15762418,Loyalist
15625759,Loyalist
15622897,At Risk
15767954,Loyalist
15757535,At Risk
15731511,At Risk
15809248,Loyalist
15640635,Champion
15676966,Loyalist
15699461,Loyalist
15738721,Loyalist
15693683,Champion
15604348,Loyalist
15633059,Loyalist
15808582,Loyalist
15743192,Loyalist
15580146,Loyalist
15776605,Loyalist
15804919,Promising
15613854,Loyalist
15599195,Promising
15812878,Promising
15602312,Loyalist
15744689,Loyalist
15803526,Loyalist
15665790,Loyalist
15715951,Promising
15591100,Loyalist
15609618,Champion
15675522,Champion
15705512,Loyalist
15698028,Promising
15661670,Loyalist
15600781,Loyalist
15682472,Loyalist
15580203,Loyalist
15690673,Loyalist
15760085,Loyalist
15779659,Loyalist
15627360,Loyalist
15671137,Promising
15782688,At Risk
15575492,Loyalist
15591607,Loyalist
15740404,Loyalist
15718369,Loyalist
15677871,Loyalist
15642004,Promising
15712543,Champion
15584518,Loyalist
15802381,Loyalist
15610156,Promising
15594408,At Risk
15640905,Promising
15698932,Loyalist
15724944,Champion
15628145,Loyalist
15713483,At Risk
15612350,Loyalist
15800703,Loyalist
15705707,Loyalist
15754105,Loyalist
15703264,Loyalist
15794413,Promising
15650237,Loyalist
15759618,At Risk
15811589,Loyalist
15689044,Promising
15709368,Champion
15679145,At Risk
15655007,Loyalist
15623595,Promising
15589975,Loyalist
15804017,Loyalist
15692132,Loyalist
15641122,Promising
15630910,At Risk
15680772,Promising
15658929,Promising
15585388,Champion
15724623,Loyalist
15588537,Loyalist
15574692,Promising
15611325,Loyalist
15587562,Loyalist
15613172,Loyalist
15651022,Loyalist
15586310,Loyalist
15625524,Loyalist
15755209,Loyalist
15645248,Promising
15790355,Loyalist
15762615,Loyalist
15625426,At Risk
15716334,Promising
15789669,Promising
15621075,At Risk
15810845,Promising
15719377,Loyalist
15654506,Loyalist
15771977,Promising
15708710,Promising
15726676,Loyalist
15587421,Loyalist
15726931,Loyalist
15771086,Loyalist
15756850,Promising
15702741,Loyalist
15679200,Loyalist
15594815,Loyalist
15635905,Champion
15777892,Loyalist
15656176,Champion
15811127,Loyalist
15604482,Promising
15622911,Loyalist
15600974,Loyalist
15727868,Promising
15627801,Loyalist
15773039,Loyalist
15755262,Loyalist
15679531,Loyalist
15684181,At Risk
15612087,Promising
15752047,Promising
15624592,Champion
15573152,Loyalist
15594917,Promising
15785542,Loyalist
15723488,Loyalist
15680920,At Risk
15786308,Loyalist
15659366,Promising
15774854,Loyalist
15725311,Champion
15787155,Loyalist
15727829,Promising
15733247,Loyalist
15568748,Loyalist
15699029,Loyalist
15774393,Champion
15676895,At Risk
15637753,At Risk
15605461,Loyalist
15808473,Promising
15627000,Promising
15787174,Promising
15723886,Loyalist
15704769,Loyalist
15772896,Loyalist
15711540,Promising
15764866,At Risk
15794056,At Risk
15795149,Promising
15812009,Loyalist
15651001,Loyalist
15813844,Champion
15596175,Loyalist
15576269,Loyalist
15797219,Loyalist
15685500,Loyalist
15599792,Promising
15657566,Loyalist
15772423,At Risk
15628112,Loyalist
15753754,Promising
